Name,DPI,Sensitivity,eDPI,Mouse,Mousepad,Monitor
Sacy,800,0.44,352,LOGITECH G PRO X SUPERLIGHT 2,Pulsar x2 Saturn Pro,ZOWIE XL2546
TenZ,1600,0.1,160,PULSAR TENZ EDITION,Artisan Ninja FX Zero XSoft,SONY INZONE M10S
zekken,1600,0.1,160,RAZER VIPER V3 PRO BLACK,Artisan Type-99 Mid,ZOWIE XL2566K
Zellsis,400,0.43,172,RAZER VIPER V3 PRO WHITE,Razer Gigantus V2,ZOWIE XL2566K
benjyfishy,800,0.283,226.4,LOGITECH G PRO X2,Gamesense Radar,ZOWIE XL2566K
Boo,800,0.28,224,RAZER VIPER V3 PRO WHITE,Logitech G740,ZOWIE XL2566K
MiniBoo,800,0.32,256,RAZER DEATHADDER V3 PRO,Logitech G640,ZOWIE XL2566K
RieNs,800,0.27,216,LOGITECH G PRO X SUPERLIGHT 2,Artisan Ninja FX Zero XSoft,ZOWIE XL2566K
Wo0t,800,0.3,240,LOGITECH G PRO X SUPERLIGHT 2,Logitech G740,ZOWIE XL2566K
Jamppi,800,0.42,336,VAXEE XE-S WIRELESS,VAXEE PA M-P-A,ZOWIE XL2566K
nAts,800,0.49,392,ZOWIE EC2-CW BLACK,ZOWIE G-SR-SE,ZOWIE XL2546K
